X,Y,fid,NAME,NAME_EN,MAN_MADE,LEISURE,AMENITY,OFFICE,SHOP,TOURISM,SPORT,OSM_TYPE,OSM_ID,icon_url
-68.2773673,12.1515097,"1679",Terramar Museum,,,,,,,museum,,node,"11010890529",./4.png
-68.2774572,12.1512373,"1680",Bonaire Realty,,,,,estate_agent,,,,node,"11010890530",
-68.2774733,12.1513009,"1681",BuddhaToBuddha,,,,,,jewelry,,,node,"11010890531",
-68.277545,12.1515087,"1682",Sunshine Food & Drinks,,,,cafe,,,,,node,"11010890532",
-68.2774994,12.1518009,"1683",Piraña Joe,,,,,,clothes,,,node,"11010890534",
-68.2770398,12.1516562,"1684",Service Drogist,,,,,,chemist,,,node,"11010890535",
-68.2767005,12.15053,"1685",Number Ten,,,,cafe,,,,,node,"11010890540",
-68.2767139,12.1505962,"1686",The Captains Table,,,,restaurant,,,,,node,"11010890541",
-68.2765114,12.1471776,"1687",Umbrella,,,,restaurant,,,,,node,"11010932438",
-68.2765034,12.1471225,"1688",C'est La Vie,,,,restaurant,,,,,node,"11010932439",
-68.2764859,12.1470265,"1689",Essentials Boutique,,,,,,clothes,,,node,"11010932440",
-68.2765677,12.1471549,"1690",Essentials Spa,,,,,,beauty,,,node,"11010932441",
-68.2765456,12.1470461,"1691",BDO,,,,,accountant,,,,node,"11010932442",
-68.2765369,12.1469852,"1692",The Real Estate Guy,,,,,estate_agent,,,,node,"11010932443",
-68.2764222,12.1466679,"1693",Sakura,,,,restaurant,,,,,node,"11010932444",
-68.2764343,12.1467265,"1694",Tulip Spa,,,,,,beauty,,,node,"11010932445",
-68.2764899,12.1467465,"1695",Gino Obersi Architecture (GOA),,,,,architect,,,,node,"11010932446",
-68.2765121,12.1468304,"1696",Wildkamp,,,,,,wholesale,,,node,"11010932447",
-68.277422,12.1511032,"1697",MoltenWolf Glass,,,,,,art,,,node,"11010932448",
-68.2765838,12.1466125,"1698",,,,,bench,,,,,node,"11011354308",
-68.2778203,12.1517678,"1699",Karel's Beach Bar,,,,bar,,,,,node,"11011354311",
-68.2780254,12.1516882,"1700",,,,,ferry_terminal,,,,,node,"11011354312",
-68.2773008,12.150798,"1701",Luciano,,,,ice_cream,,,,,node,"11011354326",
-68.2881219,12.1736664,"1702",Bamboo Bonaire,,,resort,,,,,,node,"11012381246",
-68.2717914,12.1608173,"1703",Garage Cordia,,,,,,car,,,node,"11012438931",
-68.2789506,12.1554038,"1704",Pastechi and More,,,,fast_food,,,,,node,"11012827503",
-68.2774056,12.1510472,"1705",Bedazzle Adaliz,,,,,,jewelry,,,node,"11012827504",
-68.2860329,12.1696013,"1706",Bon Bida,,,fitness_centre,,,,,,node,"11012836606",
-68.2851947,12.1677889,"1707",Dushi Style,,,,,,sports,,"scuba_diving;running",node,"11012836607",
-68.2838964,12.1637315,"1708",Oscar Lighthouse,,,,restaurant,,,,,node,"11013226444",
-68.2839554,12.1633696,"1709",Target Pest Control,,,,,,pest_control,,,node,"11013226445",
-68.2838334,12.1632556,"1710",Klinika Dental van Egmond,,,,dentist,,,,,node,"11013226446",
-68.2764488,12.1468395,"1711",Summersweet Bonaire,,,,,,gift,,,node,"11019787915",
-68.2765534,12.1470939,"1712",Megacorp Advocaten,,,,,lawyer,,,,node,"11019787916",
-68.308515,12.2018663,"1713",Pelican Pizza,,,,restaurant,,,,,node,"11020556861",
-68.3417923,12.2653983,"1714",Thirsty and Hungry,,,,cafe,,,,,node,"11022864885",
-68.2663762,12.0444486,"1715",Kiteboarding Bonaire,,,,,,,,kitesurfing,node,"11026531203",
-68.2663065,12.0442309,"1716",Bonaire Kiteschool,,,,,,,,kitesurfing,node,"11026531204",
-68.2734783,12.2134053,"1718",Tanki Maraka Heritage Park,,,,,,,museum,,node,"11048197836",./4.png
-68.2159998,12.1755025,"1719",Red Hill,,,,,,,viewpoint,,node,"11049718352",./1.png
-68.2101339,12.173616,"1720",Boka Washikemba,,,,,,,viewpoint,,node,"11049744492",./1.png
-68.3100972,12.2014565,"1721",,,,,bench,,,,,node,"11092056028",
-68.3180026,12.2076094,"1722",,,,,bench,,,,,node,"11092056085",
-68.3191775,12.2086239,"1723",,,,,,,,viewpoint,,node,"11092067427",./1.png
-68.3242636,12.2111366,"1724",,,,,bench,,,,,node,"11092067492",
-68.323764,12.2113033,"1725",,,,,,,,viewpoint,,node,"11092067493",./1.png
-68.3376537,12.2170607,"1726",,,,,bench,,,,,node,"11092067526",
-68.3498429,12.2183777,"1727",,,,,bench,,,,,node,"11092067529",
-68.2784478,12.1630865,"1728",,,,,,,,apartment,,node,"11101891505",
-68.2752793,12.1232217,"1729",,,,,,,,apartment,,node,"11101893605",
-68.3403631,12.2339702,"1730",Altamira UnJo (Panorama Rincon),,,,,,,viewpoint,,node,"11112534184",./1.png
-68.3477295,12.2335831,"1731",,,,,,,,viewpoint,,node,"11112545359",./1.png
-68.3479599,12.2726463,"1732",,,,,,,,information,,node,"11112627987",./5.png
-68.3456336,12.2728811,"1733",Pos di Undomigu na Barbona di Kunuku Blanku,,water_well,,,,,,,node,"11112629215",
-68.3456037,12.2728918,"1734",,,,,,,,information,,node,"11112629241",./5.png
-68.3432272,12.272395,"1735",,,,,,,,information,,node,"11112629242",./5.png
-68.3447221,12.2752701,"1736",Pos di Undomigu Riba Klips,,water_well,,,,,,,node,"11112629258",
-68.3446925,12.2752783,"1737",,,,,,,,information,,node,"11112629259",./5.png
-68.3460091,12.279174,"1738",,,,,,,,information,,node,"11112629272",./5.png
-68.3460045,12.2792529,"1739",,,,,,,,attraction,,node,"11112629273",./2.png
-68.3477722,12.2794967,"1740",,,,,,,,information,,node,"11112629282",./5.png
-68.348677,12.2774098,"1741",,,,,,,,information,,node,"11112629316",./5.png
-68.3490385,12.2770704,"1742",,,,,,,,viewpoint,,node,"11112629321",./1.png
-68.330221,12.2405989,"1743",Rincon Medical Center,,,,doctors,,,,,node,"11186115669",
-68.2673163,12.1424712,"1745",Bon Bini Car Rental & Tours,,,,,,car,,,node,"11236010138",
-68.4144402,12.276843,"1746",Bise Morto,,,,,,,attraction,,node,"11302382069",./2.png
-68.2581378,12.0323197,"1747",Hidden Beach (unmarked site),,,,,,,,scuba_diving,node,"11333668404",
-68.2562156,12.0311599,"1748",Yellow Hut (unmarked site),,,,,,,,scuba_diving,node,"11333668405",
-68.2604963,12.0334365,"1749",Soft Coral Garden (unmarked site),,,,,,,,scuba_diving,node,"11333668406",
-68.2884166,12.174665,"1751",,TerraBasket,,,,,health_food,,,node,"11420942269",
